,ticker,date,time,title,score
0,AMZN,2024-10-17,04:01PM,Amazon.com to Webcast Third Quarter 2024 Financial Results Conference Call,0.0
1,AMZN,2024-10-17,02:28PM,Expect heavy promotions this holiday shopping season: Analyst,0.481
2,AMZN,2024-10-17,02:25PM,Wall Street Debates Costs Of Amazon's Starlink Competitor. What Is Project Kuiper?,0.0
3,AMZN,2024-10-17,01:55PM,"Jobless claims, homebuilder confidence, retail outlook: Wealth!",0.7777
4,AMZN,2024-10-17,01:13PM,"Amazon Invests $500 Million in Nuclear Energy, Boosting Green Commitments",0.6908
6,AMZN,2024-10-17,01:12PM,"Amazon, Google Join Nuclear Power Push, Triggering Market Surge",0.4404
7,AMZN,2024-10-17,12:22PM,Amazon Says New Nvidia-Based Systems Wont Be Online Until 2025,0.1779
8,AMZN,2024-10-17,12:04PM,Amazon Prime Video taps former NBC anchor Williams for special election day coverage,0.5267
9,AMZN,2024-10-17,12:00PM,Brian Williams to Host Live Election-Night Special on Amazon Prime Video,0.5267
10,AMZN,2024-10-17,11:27AM,What's Going On With NuScale Power Stock on Thursday?,0.0
11,AMZN,2024-10-17,11:21AM,Consumers Have Economists Optimistic About Third-Quarter Growth,0.5994
12,AMZN,2024-10-17,11:11AM,Danger to children: Amazon among online marketplaces selling unsafe toys in Europe,-0.4019
13,AMZN,2024-10-17,10:07AM,Billionaire Philippe Laffont Continues to Buy This Artificial Intelligence (AI) Semiconductor Company (Hint: Not Nvidia),0.4767
14,AMZN,2024-10-17,09:54AM,First US auction of nature-based carbon credits scheduled for early 2025,0.3612
15,AMZN,2024-10-17,08:15AM,What Is Project Kuiper? Analysts Debate Bull And Bear Case For Amazon's Satellite Internet Push,0.0
17,AMZN,2024-10-17,08:11AM,"EXCLUSIVE: Walmart, Target convert Prime Big Deal Days traffic",0.3034
18,AMZN,2024-10-17,06:05AM,The AI stock surge signals investors will be patient for profit: Morning Brief,0.4404
19,AMZN,2024-10-17,05:50AM,Billionaire Ken Griffin's Top 3 Artificial Intelligence (AI) Stocks: Are They Buys Now?,0.5994
20,AMZN,2024-10-17,05:36AM,"Meet The Low-Cost Vanguard ETF That Has 20% Of Its Holdings in Nvidia, Broadcom, and AMD",0.0
21,AMZN,2024-10-17,05:30AM,Ulta Beautys New Chapter: Aging Gracefully,0.5267
22,AMZN,2024-10-17,04:45AM,Amazon's Latest Healthcare Move Could Be a Big Problem for Walgreens and CVS,-0.4019
23,AMZN,2024-10-17,04:35AM,Billionaires Are Buying Up This Millionaire-Maker Stock,0.0
24,AMZN,2024-10-17,03:50AM,"Amazon.com, Inc. (AMZN): Most Promising Future Stock According to Analysts",0.4576
25,AMZN,2024-10-16,07:33PM,Amazon doubles down on nuclear energy with deal for small reactors,0.4215
26,AMZN,2024-10-16,07:17PM,Amazon takes surprising tactic to solve a growing problem,0.3818
27,AMZN,2024-10-16,06:53PM,"Election cybersecurity, AI in healthcare: Asking for a Trend",0.0
28,AMZN,2024-10-16,06:11PM,These Mag 7 giants continue to invest even more in AI: Chart,0.0
29,AMZN,2024-10-16,05:09PM,Amazon invests $500M to go nuclear after Microsoft and Google,0.1779
30,AMZN,2024-10-16,04:13PM,"Amazon Goes Nuclear, Sending IBD's Stock Of The Day Skyward",0.1779
31,AMZN,2024-10-16,03:50PM,AWS CEO on Amazon's $500 million small modular reactors investment,0.0
33,AMZN,2024-10-16,03:45PM,Nvidia is set to dominate another Big Tech earnings season,-0.128
34,AMZN,2024-10-16,03:36PM,"Jim Cramer on Amazon, Inc. (AMZN): I Think The Company Simply Has Too Many Levers, Including The Incredible Growth For The Amazon Web Services",0.6124
35,AMZN,2024-10-16,02:45PM,How to gain 'Magnificent Seven' exposure through ETFs,0.8074
36,AMZN,2024-10-16,02:40PM,"Amazon, Google tap into nuclear power to fuel data centers and AI push",0.1779
37,AMZN,2024-10-16,02:31PM,Amazon Joins Big Techs Foray Into Nuclear Power,0.1779
38,AMZN,2024-10-16,02:22PM,The Future of Cars and Search,0.0
39,AMZN,2024-10-16,01:14PM,"Amazon Launches New Kindles, Including First Color, AI Models",0.1779
40,AMZN,2024-10-16,01:05PM,This Week in AI: AWS loses a top AI exec,-0.128
41,AMZN,2024-10-16,12:45PM,Why NuScale Power Stock Soared to an All-Time High Today,0.0
42,AMZN,2024-10-16,12:20PM,Amazon Nuclear Bet Looks Like a Game-Changer,0.4939
43,AMZN,2024-10-16,12:09PM,Why Is Nano Nuclear Energy Stock Gaining Today?,0.5994
44,AMZN,2024-10-16,12:07PM,"Amazon signs nuclear power deals, following Google, Microsoft",0.1779
45,AMZN,2024-10-16,12:05PM,Amazon is joining Google and Microsoft in going big on nuclear power,0.1779
46,AMZN,2024-10-16,11:48AM,Amazon Adds to Big Tech's Nuclear Push,0.1779
47,AMZN,2024-10-16,11:32AM,Amazon to power electric vans with mini-nuclear reactors,0.1779
48,AMZN,2024-10-16,11:21AM,Amazon Continues Push to Add More Nuclear Energy With 2 New Deals,0.4728
49,AMZN,2024-10-16,11:14AM,Amazon Web Services invests more than $500 million on nuclear energy projects in Virginia,0.4215
50,AMZN,2024-10-16,10:47AM,"Ken Griffin, Amazon Invest in Next-Generation Nuclear Energy",0.4215
51,AMZN,2024-10-16,10:45AM,"Amazon Announces Kindle Colorsoft, Updates Other Models as Competition Heats Up",0.1779
52,AMZN,2024-10-16,10:42AM,Amazon just made a big change to the Kindle,0.1779
53,AMZN,2024-10-16,10:41AM,Amazon investing more than $500 million to develop nuclear energy,0.4215
54,AMZN,2024-10-16,10:31AM,"Amazon's New Kindle Lineup Includes AI-Powered Notebook, First Color Screen",0.0
55,AMZN,2024-10-16,10:15AM,Prediction: This Will Be the Best Stock in the Dow Jones Next Year,0.6369
56,AMZN,2024-10-16,09:49AM,"Amazon goes nuclear, to invest more than $500 million to develop small module reactors",0.1779
57,AMZN,2024-10-16,09:37AM,3 Tenacious Stocks That Could Make You a Millionaire,0.0
58,AMZN,2024-10-16,09:23AM,"Amazon Launches Entirely New Kindle Lineup, Including Reimagined Kindle Scribe and First-Ever Color Kindle",0.1779
59,AMZN,2024-10-16,08:31AM,Q3 2024 Omnicom Group Inc Earnings Call,0.0
